,Unnamed: 0,object_id,MergedDegree
535,535,p:9014,"0,1,0,0,0"
536,536,p:9391,"1,0,0,0,0"
537,537,p:9391,"0,1,0,0,0"
538,538,p:9397,"1,0,0,0,0"
539,539,p:9411,"0,0,0,0,1"
540,540,p:6759,"1,0,0,0,0"
541,541,p:6759,"0,1,0,0,0"
542,542,p:6760,"1,0,0,0,0"
543,543,p:9452,"1,0,0,0,0"
544,544,p:9452,"0,1,0,0,0"
545,545,p:828,"1,0,0,0,0"
546,546,p:828,"0,1,0,0,0"
547,547,p:360,"0,0,1,0,0"
548,548,p:9491,"0,1,0,0,0"
549,549,p:9507,"0,0,1,0,0"
550,550,p:9508,"1,0,0,0,0"
551,551,p:213,"0,1,0,0,0"
552,552,p:213,"1,0,0,0,0"
553,553,p:704,"1,0,0,0,0"
554,554,p:704,"0,1,0,0,0"
555,555,p:9514,"1,0,0,0,0"
556,556,p:9514,"0,1,0,0,0"
557,557,p:9527,"0,1,0,0,0"
558,558,p:9527,"1,0,0,0,0"
559,559,p:9539,"1,0,0,0,0"
560,560,p:9539,"0,0,0,0,1"
561,561,p:7083,"1,0,0,0,0"
562,562,p:1526,"1,0,0,0,0"
563,563,p:9565,"1,0,0,0,0"
564,564,p:9565,"0,0,1,0,0"
565,565,p:9565,"0,0,1,0,0"
566,566,p:9566,"0,1,0,0,0"
567,567,p:9566,"1,0,0,0,0"
568,568,p:8272,"0,1,0,0,0"
569,569,p:8360,"0,0,1,0,0"
570,570,p:9588,"1,0,0,0,0"
571,571,p:9506,"1,0,0,0,0"
572,572,p:9634,"1,0,0,0,0"
573,573,p:9634,"1,0,0,0,0"
574,574,p:9634,"0,1,0,0,0"
575,575,p:9634,"0,0,0,0,1"
576,576,p:9650,"1,0,0,0,0"
577,577,p:9654,"1,0,0,0,0"
578,578,p:9656,"0,0,1,0,0"
579,579,p:9656,"0,0,1,0,0"
580,580,p:9657,"1,0,0,0,0"
581,581,p:9657,"0,1,0,0,0"
582,582,p:9679,"1,0,0,0,0"
583,583,p:9698,"1,0,0,0,0"
584,584,p:9702,"1,0,0,0,0"
585,585,p:9702,"0,1,0,0,0"
586,586,p:9722,"1,0,0,0,0"
587,587,p:9724,"1,0,0,0,0"
588,588,p:9727,"1,0,0,0,0"
589,589,p:5466,"0,1,0,0,0"
590,590,p:5466,"1,0,0,0,0"
591,591,p:5466,"0,1,0,0,0"
592,592,p:8467,"1,0,0,0,0"
593,593,p:9729,"1,0,0,0,0"
